岗位名称,公司名,招聘详情页,薪资,工作地点,身份要求,学历要求,公司规模,公司简介
广告,星创传媒,https://www.shixiseng.com/intern/inn_v7dh0tzfxuyw?pcm=pc_SearchList,7k-9k/月,上海,| 应届生 | 毕业1年内,| 大专,15-50人,锻炼机会多，大专及以上，地铁直达，员工团建，工作氛围活泼，留任发展
广告,萌牙科技,https://www.shixiseng.com/intern/inn_yagwygxak59m?pcm=pc_SearchList,8k-10k/月,宁波,| 应届生 | 毕业1年内,| 本科,150-500人,创客，福利环境超好，团队努力向上，双休年假，员工团建，节假日福利
广告,智岩科技,https://www.shixiseng.com/intern/inn_xdk9pygblqyj?pcm=pc_SearchList,7k-9k/月,深圳,| 应届生,| 本科,150-500人,跨境电商，研发型企业，智能硬件
广告,CDG,https://www.shixiseng.com/intern/inn_9ljlqtv3q5td?pcm=pc_SearchList,6k-8k/月,上海,| 应届生 | 毕业1年内,| 本科,15-50人,弹性办公，年轻活力，国际化视野，数字营销
广告,艾砾文化,https://www.shixiseng.com/intern/inn_5y14m6aococr?pcm=pc_SearchList,3k-4k/月,上海,| 应届生,| 不限,15-50人,广告，学习氛围好，有转正机会，新媒体运营，时间弹性，年轻平等
广告,萌牙科技,https://www.shixiseng.com/intern/inn_j49vnsvkdna2?pcm=pc_SearchList,8k-10k/月,宁波,| 应届生 | 毕业1年内,| 本科,150-500人,创客，福利环境超好，团队努力向上，双休年假，员工团建，节假日福利
广告,德邦快递,https://www.shixiseng.com/intern/inn_m7iaib9xbacs?pcm=pc_SearchList,8k-13k/月,上海,| 应届生 | 毕业1年内,| 硕士,2000人以上,年假多多，朝阳产业，高速发展，年轻有激情，导师带教制，业界知名
广告,年糕妈妈,https://www.shixiseng.com/intern/inn_uabvuswvmbnj?pcm=pc_SearchList,8k-10k/月,杭州,| 应届生,| 本科,150-500人, 
广告,美的置业集团,https://www.shixiseng.com/intern/xjb_sfeoma5rofg6?pcm=pc_SearchList,薪资面议,佛山, , , , 
广告,友塔游戏,https://www.shixiseng.com/intern/inn_zbypbahjosoe?pcm=pc_SearchList,10k-18k/月,上海,| 应届生,| 本科,500-2000人,团队年轻化，扁平化管理，发展空间大，气氛轻松愉悦，资深导师，免费午晚餐，新鲜水果，节日福利，生日派对，游戏周年庆
广告,微思敦,https://www.shixiseng.com/intern/inn_lfp7gtzvsils?pcm=pc_SearchList,3k-5k/月,武汉,| 应届生,| 本科,150-500人,优秀实习环境，年轻群体，能力锻炼，牛人多，自由开放，给力的薪酬，培训导师，节日礼品，发展机会多，团建活动丰富
广告,武汉越理思,https://www.shixiseng.com/intern/inn_zpyueh6kj4ax?pcm=pc_SearchList,7k-13k/月,武汉,| 应届生 | 毕业1年内,| 本科,50-150人,生日惊喜，免费健身房，高薪，包住，包吃，人性化
广告,欢聚集团,https://www.shixiseng.com/intern/inn_zb9hrdwyzb3y?pcm=pc_SearchList,10k-15k/月,广州,| 应届生,| 本科,2000人以上,工作环境超棒，餐补
广告,四三九九,https://www.shixiseng.com/intern/xjb_7qqmsh6vypfk?pcm=pc_SearchList,薪资面议,厦门, , , , 
广告,雨果网,https://www.shixiseng.com/intern/xjb_gq8ps5dyec4q?pcm=pc_SearchList,8k-15k/月,厦门, , , , 
广告,跟斗云商务,https://www.shixiseng.com/intern/xjb_kdt9nnrvvp6q?pcm=pc_SearchList,6k-8k/月,南宁, , , , 
广告,兆星广告,https://www.shixiseng.com/intern/xjb_um0fubxrb6ga?pcm=pc_SearchList,3k-4k/月,南宁, , , , 
广告,红星闪耀,https://www.shixiseng.com/intern/xjb_rjqqzknaz5kr?pcm=pc_SearchList,5k-6k/月,南宁, , , , 
广告,弼学教育,https://www.shixiseng.com/intern/xjb_ynp8ybqcmhlb?pcm=pc_SearchList,6k-8k/月,南宁, , , , 
