岗位名称,公司名,招聘详情页,薪资,工作地点,身份要求,学历要求,公司规模,公司简介
内容运营,浪起文化,https://www.shixiseng.com/intern/xjb_0jkzpb123wje?pcm=pc_SearchList,6k-10k/月,厦门, , , , 
内容运营,多来科,https://www.shixiseng.com/intern/xjb_yi9348v6jypx?pcm=pc_SearchList,5k-7k/月,厦门, , , , 
内容运营,IDG资本,https://www.shixiseng.com/intern/xjb_b7wuf29g9v9z?pcm=pc_SearchList,薪资面议,北京, , , , 
内容运营,万维科技,https://www.shixiseng.com/intern/xjb_2r7jup3fazuc?pcm=pc_SearchList,薪资面议,北京, , , , 
内容运营,图灵深视,https://www.shixiseng.com/intern/xjb_tuzxs107wdqu?pcm=pc_SearchList,10k-15k/月,北京, , , , 
内容运营,二更,https://www.shixiseng.com/intern/xjb_viufvgnjtto2?pcm=pc_SearchList,薪资面议,北京, , , , 
内容运营,盖得排行,https://www.shixiseng.com/intern/xjb_v0fa8qztkoio?pcm=pc_SearchList,薪资面议,广州, , , , 
内容运营,乐牛软件,https://www.shixiseng.com/intern/xjb_inpg7zd3cdsf?pcm=pc_SearchList,薪资面议,广州, , , , 
内容运营,大树科技,https://www.shixiseng.com/intern/xjb_3sfd7z7pms7l?pcm=pc_SearchList,3k-5k/月,成都, , , , 
内容运营,华清易点,https://www.shixiseng.com/intern/xjb_ildkbk55qou6?pcm=pc_SearchList,8k-12k/月,北京, , , , 
内容运营,创必承信息,https://www.shixiseng.com/intern/xjb_7m2bgnvklu5m?pcm=pc_SearchList,薪资面议,广州, , , , 
内容运营,青塔科技,https://www.shixiseng.com/intern/xjb_pokwsjuqa14a?pcm=pc_SearchList,薪资面议,杭州, , , , 
内容运营,谷川联行（杭州）,https://www.shixiseng.com/intern/xjb_8ug9k0eyubbx?pcm=pc_SearchList,薪资面议,杭州, , , , 
内容运营,意丰歌服饰,https://www.shixiseng.com/intern/xjb_kndkqnufb1yv?pcm=pc_SearchList,薪资面议,杭州, , , , 
内容运营,中电万维,https://www.shixiseng.com/intern/xjb_rd2gktdasdtk?pcm=pc_SearchList,薪资面议,兰州, , , , 
内容运营,三维家,https://www.shixiseng.com/intern/xjb_vmo2dhl2csm2?pcm=pc_SearchList,薪资面议,广州, , , , 
内容运营,蓝晶微生物,https://www.shixiseng.com/intern/xjb_b4pqty2znvkh?pcm=pc_SearchList,10k-15k/月,北京, , , , 
内容运营,宠加CHONG+,https://www.shixiseng.com/intern/inn_wlb2qbn1b6uh?pcm=pc_SearchList,薪资面议,北京,| 应届生 | 毕业1年内,| 本科,少于15人,快消，宠物，氛围好
内容运营,开课吧,https://www.shixiseng.com/intern/inn_htb6yjysharx?pcm=pc_SearchList,薪资面议,北京,| 应届生,| 本科,2000人以上,在线职业教育，互联网
内容运营,八方游戏,https://www.shixiseng.com/intern/inn_nwakbzm4aqdf?pcm=pc_SearchList,3k-4k/月,茂名,| 应届生 | 毕业1年内,| 不限,50-150人,环境棒福利佳，头脑风暴，营销策划，女神同事，福利多
内容运营,浪起文化,https://www.shixiseng.com/intern/xjb_0jkzpb123wje?pcm=pc_SearchList,6k-10k/月,厦门, , , , 
内容运营,多来科,https://www.shixiseng.com/intern/xjb_yi9348v6jypx?pcm=pc_SearchList,5k-7k/月,厦门, , , , 
内容运营,IDG资本,https://www.shixiseng.com/intern/xjb_b7wuf29g9v9z?pcm=pc_SearchList,薪资面议,北京, , , , 
内容运营,万维科技,https://www.shixiseng.com/intern/xjb_2r7jup3fazuc?pcm=pc_SearchList,薪资面议,北京, , , , 
内容运营,图灵深视,https://www.shixiseng.com/intern/xjb_tuzxs107wdqu?pcm=pc_SearchList,10k-15k/月,北京, , , , 
内容运营,二更,https://www.shixiseng.com/intern/xjb_viufvgnjtto2?pcm=pc_SearchList,薪资面议,北京, , , , 
内容运营,盖得排行,https://www.shixiseng.com/intern/xjb_v0fa8qztkoio?pcm=pc_SearchList,薪资面议,广州, , , , 
内容运营,乐牛软件,https://www.shixiseng.com/intern/xjb_inpg7zd3cdsf?pcm=pc_SearchList,薪资面议,广州, , , , 
内容运营,大树科技,https://www.shixiseng.com/intern/xjb_3sfd7z7pms7l?pcm=pc_SearchList,3k-5k/月,成都, , , , 
内容运营,华清易点,https://www.shixiseng.com/intern/xjb_ildkbk55qou6?pcm=pc_SearchList,8k-12k/月,北京, , , , 
内容运营,创必承信息,https://www.shixiseng.com/intern/xjb_7m2bgnvklu5m?pcm=pc_SearchList,薪资面议,广州, , , , 
内容运营,青塔科技,https://www.shixiseng.com/intern/xjb_pokwsjuqa14a?pcm=pc_SearchList,薪资面议,杭州, , , , 
内容运营,谷川联行（杭州）,https://www.shixiseng.com/intern/xjb_8ug9k0eyubbx?pcm=pc_SearchList,薪资面议,杭州, , , , 
内容运营,意丰歌服饰,https://www.shixiseng.com/intern/xjb_kndkqnufb1yv?pcm=pc_SearchList,薪资面议,杭州, , , , 
内容运营,中电万维,https://www.shixiseng.com/intern/xjb_rd2gktdasdtk?pcm=pc_SearchList,薪资面议,兰州, , , , 
内容运营,三维家,https://www.shixiseng.com/intern/xjb_vmo2dhl2csm2?pcm=pc_SearchList,薪资面议,广州, , , , 
内容运营,蓝晶微生物,https://www.shixiseng.com/intern/xjb_b4pqty2znvkh?pcm=pc_SearchList,10k-15k/月,北京, , , , 
内容运营,宠加CHONG+,https://www.shixiseng.com/intern/inn_wlb2qbn1b6uh?pcm=pc_SearchList,薪资面议,北京,| 应届生 | 毕业1年内,| 本科,少于15人,快消，宠物，氛围好
内容运营,开课吧,https://www.shixiseng.com/intern/inn_htb6yjysharx?pcm=pc_SearchList,薪资面议,北京,| 应届生,| 本科,2000人以上,在线职业教育，互联网
内容运营,八方游戏,https://www.shixiseng.com/intern/inn_nwakbzm4aqdf?pcm=pc_SearchList,3k-4k/月,茂名,| 应届生 | 毕业1年内,| 不限,50-150人,环境棒福利佳，头脑风暴，营销策划，女神同事，福利多
内容运营,诺塔思,https://www.shixiseng.com/intern/inn_vzekzfjldu5b?pcm=pc_SearchList,4k-7k/月,成都,| 应届生 | 毕业1年内,| 不限,50-150人,珠宝定制，手工匠艺，年轻团队
内容运营,东方资讯,https://www.shixiseng.com/intern/inn_okjmmedbdduy?pcm=pc_SearchList,3k-6k/月,上海,| 应届生,| 不限,150-500人,晋升制度完善，氛围好 成长快 收入高，研究公司，零食各种吃，环境特别好，不定期聚会，年轻、活力，团队优秀
内容运营,衡庐资产管理,https://www.shixiseng.com/intern/xjb_oap3v3qmmadn?pcm=pc_SearchList,薪资面议,南昌, , , , 
内容运营,指南者留学,https://www.shixiseng.com/intern/xjb_plpuzgxjc17o?pcm=pc_SearchList,6k-8k/月,南京, , , , 
内容运营,MBA中国网,https://www.shixiseng.com/intern/inn_8qwny6j5cukk?pcm=pc_SearchList,5k-7k/月,北京,| 应届生 | 毕业1年内,| 本科,50-150人,发展机会多，学习平台广，五险，年轻化团队，工作餐，沟通培训，发展迅速，晋升渠道广，市场研究，学习机会多多
内容运营,微思敦,https://www.shixiseng.com/intern/inn_hcvrq6ruks04?pcm=pc_SearchList,3k-5k/月,武汉,| 应届生,| 本科,150-500人,优秀实习环境，年轻群体，能力锻炼，牛人多，自由开放，给力的薪酬，培训导师，节日礼品，发展机会多，团建活动丰富
内容运营,问卷网,https://www.shixiseng.com/intern/inn_mxh2mv2jrv0f?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,500-2000人,下午茶福利，弹性工作，节日福利，做五休二，各路大神
内容运营,好买财富,https://www.shixiseng.com/intern/inn_9yqcseen4iru?pcm=pc_SearchList,11k-15k/月,上海,| 应届生,| 本科,500-2000人, 
内容运营,出口成章,https://www.shixiseng.com/intern/inn_mvjpgkktzhzy?pcm=pc_SearchList,4k-6k/月,大连,| 应届生,| 本科,50-150人,年轻活力，正式员工名额，靠谱的同事，App，一起成长，领导超强
内容运营,小鹅通,https://www.shixiseng.com/intern/inn_yp5cyfuheask?pcm=pc_SearchList,7k-14k/月,深圳,| 应届生,| 本科,150-500人,同大牛交流，发展潜力大，五险一金、绩效奖金、岗位津贴，行业龙头，提供留任机会，周末双休&amp;amp;amp;amp; 五险一金，技术大牛带教，轻松活跃
内容运营,创必承,https://www.shixiseng.com/intern/inn_ovxnfbali3g7?pcm=pc_SearchList,6k-8k/月,广州,| 应届生,| 本科,150-500人,工作开心，晋升机会，国际旅游，入职五险一金，互联网/金融，每周双休
内容运营,创必承,https://www.shixiseng.com/intern/inn_w4i9mbpcwi6g?pcm=pc_SearchList,6k-8k/月,广州,| 应届生,| 本科,150-500人,工作开心，晋升机会，国际旅游，入职五险一金，互联网/金融，每周双休
内容运营,迷你玩,https://www.shixiseng.com/intern/inn_mayfp4yqcuca?pcm=pc_SearchList,11k-16k/月,深圳,| 应届生,| 本科,500-2000人,我们待遇好，帅哥多环境好，高端人脉，提供实习证明，游戏公司，提供转正机会，导师帮扶，年度健康体检，年底高奖金，收获成长
内容运营,胖财神电商,https://www.shixiseng.com/intern/inn_cdmliyb02ayg?pcm=pc_SearchList,5k-10k/月,广州,| 应届生,| 不限,50-150人,直播电商，办公环境佳，员工福利好
内容运营,沙盒网络,https://www.shixiseng.com/intern/inn_xh9so6ltbyel?pcm=pc_SearchList,6k-10k/月,广州,| 毕业1年内,| 大专,150-500人,伙伴好，餐费补贴，职业规划好，保障
