岗位名称,公司名,招聘详情页,薪资,工作地点,身份要求,学历要求,公司规模,公司简介
产品经理,预勾,https://www.shixiseng.com/intern/inn_chguwbejr7rl?pcm=pc_SearchList,48k-50k/月,全国,| 毕业1年内,| 本科,15-50人,社交，O2O，短视频，婚礼
产品经理,上海驻点资产,https://www.shixiseng.com/intern/inn_hnormd0blgbc?pcm=pc_SearchList,6k-10k/月,上海,| 应届生 | 毕业1年内,| 本科,50-150人,量化私募
产品经理,小胖熊,https://www.shixiseng.com/intern/inn_w3x1mu17vysh?pcm=pc_SearchList,16k-20k/月,上海,| 应届生 | 毕业1年内,| 本科,500-2000人,全员90后，开放空间，牛人多，免费培训，开放式文化
产品经理,博云,https://www.shixiseng.com/intern/inn_0z6vh5xix5lf?pcm=pc_SearchList,3k-6k/月,苏州,| 应届生,| 本科,500-2000人,六险一金
产品经理,欧尔孚特,https://www.shixiseng.com/intern/inn_knrde9p97eby?pcm=pc_SearchList,5k-10k/月,常州,| 应届生,| 本科,150-500人,绩效奖金高，双休&amp; 五险，节日礼品，吃货多，温暖&amp;科技，高补贴
产品经理,博云,https://www.shixiseng.com/intern/inn_h3pfzxzejowy?pcm=pc_SearchList,6k-10k/月,苏州,| 应届生,| 不限,500-2000人,六险一金
产品经理,思而立,https://www.shixiseng.com/intern/inn_grl4haqv7eqi?pcm=pc_SearchList,3k-5k/月,厦门,| 应届生 | 毕业1年内,| 本科,15-50人, 
产品经理,博云,https://www.shixiseng.com/intern/inn_funftvhsigjp?pcm=pc_SearchList,6k-10k/月,南京,| 应届生,| 不限,500-2000人,六险一金
产品经理,毫末智行,https://www.shixiseng.com/intern/inn_ltivtoluczx2?pcm=pc_SearchList,薪资面议,北京,| 应届生,| 本科,150-500人,年轻活泼，有平台有机会，15薪，补充医疗，自动驾驶，AI
产品经理,即时设计,https://www.shixiseng.com/intern/inn_d7mgpgmyh5sy?pcm=pc_SearchList,15k-30k/月,北京,| 应届生 | 毕业1年内,| 本科,15-50人,免费饮料，学习型组织，同事nice，六险一金，年终奖励，牛人团队
产品经理,青叶软件,https://www.shixiseng.com/intern/inn_9ntaznxd3v91?pcm=pc_SearchList,5k-9k/月,厦门,| 应届生 | 毕业1年内,| 本科,50-150人,工作氛围好，福利旅游，敏捷团队，给力的福利，丰富的员工活动，有平台有机会，实习工资，零食饮品，领导好相处，有转正机会
产品经理,ecMAX,https://www.shixiseng.com/intern/inn_p1kwiyjcu19j?pcm=pc_SearchList,5k-7k/月,苏州,| 应届生,| 本科,50-150人,电商，高大上客户，参与团队决策，专业提升巨大，互联网公司，发展前景好，跨境B2C，全球化，学习型，转正机会
产品经理,自如网,https://www.shixiseng.com/intern/inn_c2aienjqlpg3?pcm=pc_SearchList,13k-25k/月,北京,| 应届生,| 本科,2000人以上,自由氛围，与大拿为伍，90后为主，发展机会
产品经理,有数金服,https://www.shixiseng.com/intern/inn_qwihy52vi1j4?pcm=pc_SearchList,8k-12k/月,杭州,| 应届生,| 本科,150-500人, 
产品经理,小米,https://www.shixiseng.com/intern/inn_h1pfaewc5qon?pcm=pc_SearchList,10k-20k/月,南京,| 应届生,| 本科,2000人以上, 
产品经理,元象Xverse,https://www.shixiseng.com/intern/inn_9dpdimum1oxo?pcm=pc_SearchList,10k-20k/月,深圳,| 应届生 | 毕业1年内,| 本科,50-150人,元宇宙，3D引擎，云渲染，云协同，人工智能，租房补贴
产品经理,交个朋友,https://www.shixiseng.com/intern/inn_lnke7bnkyxg4?pcm=pc_SearchList,18k-25k/月,杭州,| 应届生,| 本科,150-500人,大牛，这里有个性，MCN
