岗位名称,公司名,招聘详情页,薪资,工作地点,身份要求,学历要求,公司规模,公司简介
公关,Judydoll橘朵,https://www.shixiseng.com/intern/inn_mmlpeihklpba?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,150-500人,轻松活跃，节日礼物，上级同事很好，丰富多彩的员工活动，产业规划，定期旅游，开放办公，福利体检
公关,趋势纵横,https://www.shixiseng.com/intern/xjb_b12pviwgx7ed?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,奇安信集团,https://www.shixiseng.com/intern/inn_cshsi4v21lbd?pcm=pc_SearchList,薪资面议,北京,| 应届生,| 不限,2000人以上,免费三餐，五险一金，补充医疗，年度体检，年终奖金，定期团建
公关,慧医天下,https://www.shixiseng.com/intern/inn_immlhfvp4chk?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,150-500人,团队气氛好，钱途无量，快速发展
公关,慕可生物,https://www.shixiseng.com/intern/inn_1kqcr1tcqved?pcm=pc_SearchList,3k-5k/月,广州,| 应届生,| 本科,2000人以上, 
公关,京东数字科技,https://www.shixiseng.com/intern/xjb_2a3wwk3d7x4a?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,迷你玩,https://www.shixiseng.com/intern/inn_6tqln2lw8iqh?pcm=pc_SearchList,11k-16k/月,深圳,| 应届生,| 本科,500-2000人,我们待遇好，帅哥多环境好，高端人脉，提供实习证明，游戏公司，提供转正机会，导师帮扶，年度健康体检，年底高奖金，收获成长
公关,慕可生物,https://www.shixiseng.com/intern/inn_4noo8iqp44zg?pcm=pc_SearchList,7k-10k/月,广州,| 应届生,| 本科,2000人以上, 
公关,京东数字科技,https://www.shixiseng.com/intern/xjb_4ouxm4phbxme?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,西山居,https://www.shixiseng.com/intern/inn_ivb1podkvcl2?pcm=pc_SearchList,7k-15k/月,珠海,| 应届生,| 不限,500-2000人,共同成长学习，一周休两天，能力锻炼，活跃的工作环境，招聘实习生，一日三餐，集团背景，老板人很帅，福利体系完善，食堂堪比五星级
公关,奥飞娱乐,https://www.shixiseng.com/intern/inn_gzgwbxp70dvo?pcm=pc_SearchList,6k-10k/月,广州,| 应届生,| 本科,2000人以上,共同成长学习，空间无限大，大神云集，工作氛围优良，成长机会多
公关,钰途,https://www.shixiseng.com/intern/inn_ejjhjjexrxuc?pcm=pc_SearchList,薪资面议,全国,| 应届生 | 毕业1年内,| 本科,15-50人,职业&amp; 专业，学习机会多多，欢乐团队，高成长，活力&amp; 创新，成长空间大
公关,博能检测,https://www.shixiseng.com/intern/inn_akbkec19lwms?pcm=pc_SearchList,7k-14k/月,南昌,| 应届生,| 不限,15-50人, 
公关,星之辰娱乐,https://www.shixiseng.com/intern/xjb_p2fiedbwituy?pcm=pc_SearchList,12k-20k/月,厦门, , , , 
公关,夏盛户外用品,https://www.shixiseng.com/intern/xjb_bp2mei9jdxwz?pcm=pc_SearchList,薪资面议,厦门, , , , 
公关,一七福睿,https://www.shixiseng.com/intern/xjb_w4trgknsyxux?pcm=pc_SearchList,6k-8k/月,南宁, , , , 
公关,奔驰汽车,https://www.shixiseng.com/intern/xjb_jncl6cibsj31?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,科发咨询,https://www.shixiseng.com/intern/xjb_axxbmm8n9eda?pcm=pc_SearchList,8k-10k/月,南宁, , , , 
公关,奇安信集团,https://www.shixiseng.com/intern/xjb_oc5u1kdhjahr?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,星之辰娱乐,https://www.shixiseng.com/intern/xjb_863oefga8c7h?pcm=pc_SearchList,12k-20k/月,厦门, , , , 
公关,Judydoll橘朵,https://www.shixiseng.com/intern/inn_mmlpeihklpba?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,150-500人,轻松活跃，节日礼物，上级同事很好，丰富多彩的员工活动，产业规划，定期旅游，开放办公，福利体检
公关,趋势纵横,https://www.shixiseng.com/intern/xjb_b12pviwgx7ed?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,奇安信集团,https://www.shixiseng.com/intern/inn_cshsi4v21lbd?pcm=pc_SearchList,薪资面议,北京,| 应届生,| 不限,2000人以上,免费三餐，五险一金，补充医疗，年度体检，年终奖金，定期团建
公关,慧医天下,https://www.shixiseng.com/intern/inn_immlhfvp4chk?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,150-500人,团队气氛好，钱途无量，快速发展
公关,慕可生物,https://www.shixiseng.com/intern/inn_1kqcr1tcqved?pcm=pc_SearchList,3k-5k/月,广州,| 应届生,| 本科,2000人以上, 
公关,京东数字科技,https://www.shixiseng.com/intern/xjb_2a3wwk3d7x4a?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,迷你玩,https://www.shixiseng.com/intern/inn_6tqln2lw8iqh?pcm=pc_SearchList,11k-16k/月,深圳,| 应届生,| 本科,500-2000人,我们待遇好，帅哥多环境好，高端人脉，提供实习证明，游戏公司，提供转正机会，导师帮扶，年度健康体检，年底高奖金，收获成长
公关,慕可生物,https://www.shixiseng.com/intern/inn_4noo8iqp44zg?pcm=pc_SearchList,7k-10k/月,广州,| 应届生,| 本科,2000人以上, 
公关,京东数字科技,https://www.shixiseng.com/intern/xjb_4ouxm4phbxme?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,西山居,https://www.shixiseng.com/intern/inn_ivb1podkvcl2?pcm=pc_SearchList,7k-15k/月,珠海,| 应届生,| 不限,500-2000人,共同成长学习，一周休两天，能力锻炼，活跃的工作环境，招聘实习生，一日三餐，集团背景，老板人很帅，福利体系完善，食堂堪比五星级
公关,奥飞娱乐,https://www.shixiseng.com/intern/inn_gzgwbxp70dvo?pcm=pc_SearchList,6k-10k/月,广州,| 应届生,| 本科,2000人以上,共同成长学习，空间无限大，大神云集，工作氛围优良，成长机会多
公关,钰途,https://www.shixiseng.com/intern/inn_ejjhjjexrxuc?pcm=pc_SearchList,薪资面议,全国,| 应届生 | 毕业1年内,| 本科,15-50人,职业&amp; 专业，学习机会多多，欢乐团队，高成长，活力&amp; 创新，成长空间大
公关,博能检测,https://www.shixiseng.com/intern/inn_akbkec19lwms?pcm=pc_SearchList,7k-14k/月,南昌,| 应届生,| 不限,15-50人, 
公关,星之辰娱乐,https://www.shixiseng.com/intern/xjb_p2fiedbwituy?pcm=pc_SearchList,12k-20k/月,厦门, , , , 
公关,夏盛户外用品,https://www.shixiseng.com/intern/xjb_bp2mei9jdxwz?pcm=pc_SearchList,薪资面议,厦门, , , , 
公关,一七福睿,https://www.shixiseng.com/intern/xjb_w4trgknsyxux?pcm=pc_SearchList,6k-8k/月,南宁, , , , 
公关,奔驰汽车,https://www.shixiseng.com/intern/xjb_jncl6cibsj31?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,科发咨询,https://www.shixiseng.com/intern/xjb_axxbmm8n9eda?pcm=pc_SearchList,8k-10k/月,南宁, , , , 
公关,奇安信集团,https://www.shixiseng.com/intern/xjb_oc5u1kdhjahr?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,星之辰娱乐,https://www.shixiseng.com/intern/xjb_863oefga8c7h?pcm=pc_SearchList,12k-20k/月,厦门, , , , 
公关,中科华创,https://www.shixiseng.com/intern/xjb_x0e9znawyl8s?pcm=pc_SearchList,薪资面议,兰州, , , , 
公关,亚态农牧,https://www.shixiseng.com/intern/xjb_u0xihmlw0c4k?pcm=pc_SearchList,薪资面议,黔西南, , , , 
公关,狮临果蔬（江西）,https://www.shixiseng.com/intern/xjb_cqopvwwermjf?pcm=pc_SearchList,薪资面议,上饶, , , , 
公关,安邦咨询,https://www.shixiseng.com/intern/xjb_oqofiplxsiqc?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,正泰电源,https://www.shixiseng.com/intern/xjb_kyx19nmbyvnv?pcm=pc_SearchList,薪资面议,上海, , , , 
公关,翠林投资集团,https://www.shixiseng.com/intern/xjb_rkxsmk3f1r00?pcm=pc_SearchList,薪资面议,深圳, , , , 
公关,菱格木业,https://www.shixiseng.com/intern/xjb_j2xtvz776dqs?pcm=pc_SearchList,薪资面议,湖州, , , , 
公关,猫途鹰,https://www.shixiseng.com/intern/xjb_0prmi1hhmunf?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,网易-暴雪,https://www.shixiseng.com/intern/xjb_uqwhfh6kikpc?pcm=pc_SearchList,薪资面议,上海, , , , 
