岗位名称,公司名,招聘详情页,薪资,工作地点,身份要求,学历要求,公司规模,公司简介
用户研究,掌趣科技,https://www.shixiseng.com/intern/xjb_supr4udd2klk?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,网易有道,https://www.shixiseng.com/intern/xjb_h37s2uixj98e?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,畅游天下,https://www.shixiseng.com/intern/xjb_s679rrtoo9bb?pcm=pc_SearchList,12k-15k/月,北京, , , , 
用户研究,乐歌股份,https://www.shixiseng.com/intern/xjb_onoan6tdryup?pcm=pc_SearchList,薪资面议,宁波, , , , 
用户研究,诗悦网络,https://www.shixiseng.com/intern/xjb_jlikaffyqkjh?pcm=pc_SearchList,8k-10k/月,广州, , , , 
用户研究,畅游天下,https://www.shixiseng.com/intern/xjb_lyfu6t7he6ls?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,发展集团,https://www.shixiseng.com/intern/xjb_cwzjlcqobptv?pcm=pc_SearchList,薪资面议,南京, , , , 
用户研究,企顺,https://www.shixiseng.com/intern/inn_z6xa0qbsmlyg?pcm=pc_SearchList,9k-16k/月,上海,| 应届生 | 毕业1年内,| 本科,150-500人,计算机
用户研究,博睿盛伦国际咨询,https://www.shixiseng.com/intern/inn_yzei7ox1bm9u?pcm=pc_SearchList,5k-8k/月,济南,| 应届生 | 毕业1年内,| 本科,50-150人,气氛好，有机会转正，有实习证明，交通便捷，员工聚餐，培训好，下午茶，年轻的团队
用户研究,又为智能,https://www.shixiseng.com/intern/inn_zr8cfttptmrj?pcm=pc_SearchList,12k-20k/月,上海,| 应届生 | 毕业1年内,| 本科,50-150人,团队nice，优秀导师，行业前景，年轻有活力，留用，移动健康
用户研究,车圈集团,https://www.shixiseng.com/intern/inn_gqlqdtbubkum?pcm=pc_SearchList,3k-8k/月,济南,| 应届生,| 本科,150-500人,BAT系团队，总监亲自培训，全方向培养，可转正实习，零食福利，月月团建
用户研究,爱玛科技集团,https://www.shixiseng.com/intern/xjb_2ebukimxqybe?pcm=pc_SearchList,薪资面议,天津, , , , 
用户研究,同花顺,https://www.shixiseng.com/intern/inn_wpvrsjvxcz81?pcm=pc_SearchList,10k-25k/月,杭州,| 应届生,| 本科,2000人以上,上市公司，五险一金
用户研究,多益网络,https://www.shixiseng.com/intern/xjb_nvuttsvkwyat?pcm=pc_SearchList,薪资面议,广州, , , , 
用户研究,长虹电子,https://www.shixiseng.com/intern/xjb_qhgnnv6cdgd4?pcm=pc_SearchList,薪资面议,绵阳, , , , 
用户研究,数贸科技（北京）,https://www.shixiseng.com/intern/xjb_asqbm9tdjrrg?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,宝宝巴士（福建）,https://www.shixiseng.com/intern/xjb_q0vlzmqelqu2?pcm=pc_SearchList,薪资面议,福州, , , , 
用户研究,水滴公司,https://www.shixiseng.com/intern/inn_cabeq0xsjqph?pcm=pc_SearchList,薪资面议,北京,| 应届生,| 本科,2000人以上,行业前景好，移动互联，医疗健康
用户研究,敦煌网,https://www.shixiseng.com/intern/inn_y7kht3lnldcb?pcm=pc_SearchList,14k-20k/月,北京,| 应届生,| 本科,500-2000人,互联网精神，发展好，大公司
用户研究,随训通,https://www.shixiseng.com/intern/inn_feds3yxipkwm?pcm=pc_SearchList,薪资面议,全国,| 应届生,| 本科,2000人以上,高薪&amp; 奖金，大公司平台，氛围好，弹性工作，竞争力薪酬，有活力
用户研究,掌趣科技,https://www.shixiseng.com/intern/xjb_supr4udd2klk?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,网易有道,https://www.shixiseng.com/intern/xjb_h37s2uixj98e?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,畅游天下,https://www.shixiseng.com/intern/xjb_s679rrtoo9bb?pcm=pc_SearchList,12k-15k/月,北京, , , , 
用户研究,乐歌股份,https://www.shixiseng.com/intern/xjb_onoan6tdryup?pcm=pc_SearchList,薪资面议,宁波, , , , 
用户研究,诗悦网络,https://www.shixiseng.com/intern/xjb_jlikaffyqkjh?pcm=pc_SearchList,8k-10k/月,广州, , , , 
用户研究,畅游天下,https://www.shixiseng.com/intern/xjb_lyfu6t7he6ls?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,发展集团,https://www.shixiseng.com/intern/xjb_cwzjlcqobptv?pcm=pc_SearchList,薪资面议,南京, , , , 
用户研究,企顺,https://www.shixiseng.com/intern/inn_z6xa0qbsmlyg?pcm=pc_SearchList,9k-16k/月,上海,| 应届生 | 毕业1年内,| 本科,150-500人,计算机
用户研究,博睿盛伦国际咨询,https://www.shixiseng.com/intern/inn_yzei7ox1bm9u?pcm=pc_SearchList,5k-8k/月,济南,| 应届生 | 毕业1年内,| 本科,50-150人,气氛好，有机会转正，有实习证明，交通便捷，员工聚餐，培训好，下午茶，年轻的团队
用户研究,又为智能,https://www.shixiseng.com/intern/inn_zr8cfttptmrj?pcm=pc_SearchList,12k-20k/月,上海,| 应届生 | 毕业1年内,| 本科,50-150人,团队nice，优秀导师，行业前景，年轻有活力，留用，移动健康
用户研究,车圈集团,https://www.shixiseng.com/intern/inn_gqlqdtbubkum?pcm=pc_SearchList,3k-8k/月,济南,| 应届生,| 本科,150-500人,BAT系团队，总监亲自培训，全方向培养，可转正实习，零食福利，月月团建
用户研究,爱玛科技集团,https://www.shixiseng.com/intern/xjb_2ebukimxqybe?pcm=pc_SearchList,薪资面议,天津, , , , 
用户研究,同花顺,https://www.shixiseng.com/intern/inn_wpvrsjvxcz81?pcm=pc_SearchList,10k-25k/月,杭州,| 应届生,| 本科,2000人以上,上市公司，五险一金
用户研究,多益网络,https://www.shixiseng.com/intern/xjb_nvuttsvkwyat?pcm=pc_SearchList,薪资面议,广州, , , , 
